gene_name,sample_id,TPM
HNRNPA1,26823,43574.38225220859
HNRNPA1,26824,15611.965830913732
HNRNPA1,26825,10724.764360293591
HNRNPA1,26826,9997.447875831855
HNRNPA1,26827,13712.773756684048
HNRNPA1,26828,10783.469324790409
HNRNPA1,26829,20245.697135941504
HNRNPA1,26912,17380.080368564697
HNRNPA1,26913,11525.528916680149
HNRNPA1,26914,10461.914651562687
HNRNPA1,26915,16691.193644209055
HNRNPA1,26916,9397.342826044087
HNRNPA1,26917,14795.71080813177
HNRNPA1,26918,6742.801342811759
HNRNPA1,26919,10388.235433901444
HNRNPA1,26920,22376.385736464843
HNRNPA1,26921,15834.09570385358
HNRNPA1,26922,26538.628887579427
HNRNPA1,26923,11416.556330608695
HNRNPA1,26924,17673.32583234379
HNRNPA1,26925,20960.13876474037
HNRNPA1,26926,14509.732194406033
HNRNPA1,26927,28244.00030683476
HNRNPA1,26928,12326.28258653106
HNRNPA1,26929,18430.9315523755
HNRNPA1,26930,12048.766778732632
HNRNPA1,26946,9539.926267486135
HNRNPA1,26947,9416.483913553344
HNRNPA1,26948,13438.068908784773
HNRNPA1,26949,4114.536949320074
HNRNPA1,26950,7785.705318935253
HNRNPA1,26951,37993.4238850919
HNRNPA1,26952,21999.77597174963
HNRNPA1,26953,11671.817701932008
HNRNPA1,26954,19829.680640292987
HNRNPA1,26955,13809.47661271624
HNRNPA1,26956,9919.39128560807
HNRNPA1,26957,12942.176893216612
HNRNPA1,27040,13285.666997966904
HNRNPA1,27042,14515.702279064428
HNRNPA1,27043,33020.60371032822
HNRNPA1,27044,12250.988476438917
HNRNPA1,27045,14029.094915748638
HNRNPA1,27046,18132.420032749254
HNRNPA1,27047,38007.41555782754
HNRNPA1,27048,17016.209568823473
HNRNPA1,27049,12562.929072537643
HNRNPA1,27050,10293.467434245826
HNRNPA1,27051,16230.108333521235
HNRNPA1,27052,19948.334482282666
HNRNPA1,27053,18228.029314115167
HNRNPA1,27054,27849.99217871607
HNRNPA1,27055,14408.22572634521
HNRNPA1,27056,1076.0606720953695
HNRNPA1,27057,21032.4400023885
HNRNPA1,27058,7253.606944349529
HNRNPA1,27059,13304.785545344725
HNRNPA1,27074,10326.22010012903
HNRNPA1,27075,9908.829340595148
HNRNPA1,27076,8431.211304505685
HNRNPA1,27077,8576.796205547067
HNRNPA1,27078,3726.2978688054477
HNRNPA1,27079,13530.3078292736
HNRNPA1,27080,13503.83072850266
HNRNPA1,27081,16937.766628441488
HNRNPA1,27082,16706.15399860875
HNRNPA1,27083,15570.182827360315
HNRNPA1,27084,17617.407145996305
HNRNPA1,27085,10401.754202493516
HNRNPA1,27168,13427.470578979048
HNRNPA1,27169,11714.443718017725
HNRNPA1,27170,13265.490406155264
HNRNPA1,27171,8881.77223491935
HNRNPA1,27172,11669.743003646341
HNRNPA1,27173,17486.533628592213
HNRNPA1,27174,17053.71106491767
HNRNPA1,27175,13812.420993207521
HNRNPA1,27176,18951.310425506068
HNRNPA1,27177,6014.134646505481
HNRNPA1,27178,19117.894892917237
HNRNPA1,27179,39905.896759491116
HNRNPA1,27180,10691.435311330551
HNRNPA1,27181,5867.876632991336
HNRNPA1,27182,16269.56311149321
HNRNPA1,27183,13355.557532360486
HNRNPA1,27184,12504.788749668629
HNRNPA1,27185,16768.963009126415
HNRNPA1,27186,20489.326331243246
HNRNPA1,27187,5278.390667626412
HNRNPA1,27202,40741.16393456305
HNRNPA1,27203,17456.92839101206
HNRNPA1,27204,6561.427200800412
HNRNPA1,27205,12963.444754311207
HNRNPA1,27206,6789.808148439693
HNRNPA1,27207,11680.08578490958
HNRNPA1,27208,10899.361573330165
HNRNPA1,27209,15155.853548569807
HNRNPA1,27210,9478.477727382766
HNRNPA1,27211,25008.87423910564
