gene_name,sample_id,TPM
HNRNPC,26921,10327.448067143087
HNRNPC,26922,11435.027615174453
HNRNPC,26923,7564.618489429204
HNRNPC,26924,13977.542539426247
HNRNPC,26925,10171.425965193057
HNRNPC,26926,8880.937769499857
HNRNPC,26927,11489.553797901239
HNRNPC,26928,9364.1590379027
HNRNPC,26929,9616.3969362953
HNRNPC,26930,7933.3697899502595
HNRNPC,26946,6412.961680733436
HNRNPC,26947,6248.603589455046
HNRNPC,26948,13066.209204363253
HNRNPC,26949,3699.3938823466624
HNRNPC,26950,5117.672758975401
HNRNPC,26951,16157.69501535503
HNRNPC,26952,7417.884118727274
HNRNPC,26953,7860.005588762746
HNRNPC,26954,9184.234659903339
HNRNPC,26955,24767.134427478202
HNRNPC,26956,5971.420786448654
HNRNPC,26957,9204.096664970664
HNRNPC,27040,9597.372662558084
HNRNPC,27042,8045.796071394919
HNRNPC,27043,9303.615393551512
HNRNPC,27044,11932.985075980008
HNRNPC,27045,8121.509147812972
HNRNPC,27046,15629.695771128248
HNRNPC,27047,17213.353119507523
HNRNPC,27048,19294.97834306598
HNRNPC,27049,6647.808854966073
HNRNPC,27050,9531.561133234389
HNRNPC,27051,7455.715746674848
HNRNPC,27052,9253.662650026808
HNRNPC,27053,14822.085529645241
HNRNPC,27054,15820.87892965574
HNRNPC,27055,9501.532949590784
HNRNPC,27056,1033.739260239662
HNRNPC,27057,14714.386562483009
HNRNPC,27058,3321.349953884815
HNRNPC,27059,8858.926413955132
HNRNPC,27074,11505.256467978588
HNRNPC,27075,15064.072877978091
HNRNPC,27076,8888.810218323551
HNRNPC,27077,7933.634736787172
HNRNPC,27078,2011.5090257620566
HNRNPC,27079,16581.86775426098
HNRNPC,27080,7297.931155911803
HNRNPC,27081,7680.390629782727
HNRNPC,27082,10534.405326107175
HNRNPC,27083,10172.844670226943
HNRNPC,27084,10354.308613259434
HNRNPC,27085,8507.00575950653
HNRNPC,27168,12251.76349119503
HNRNPC,27169,7702.408876460926
HNRNPC,27170,12899.503201610574
HNRNPC,27171,8003.280803064042
HNRNPC,27172,7920.603980772966
HNRNPC,27173,11202.865435301032
HNRNPC,27174,10615.670776289786
HNRNPC,27175,8433.660658375911
HNRNPC,27176,11427.621430184932
HNRNPC,27177,3720.130226441044
HNRNPC,27178,14093.238168271377
HNRNPC,27179,20021.961452694875
HNRNPC,27180,5982.33325382431
HNRNPC,27181,6395.171943595213
HNRNPC,27182,8213.978789098468
HNRNPC,27183,10030.360831044762
HNRNPC,27184,11484.25037129739
HNRNPC,27185,14099.562979966593
HNRNPC,27186,11187.091959501173
HNRNPC,27187,4878.113478109929
HNRNPC,27202,21959.3696922588
HNRNPC,27203,17584.20104251537
HNRNPC,27204,7429.338578423191
HNRNPC,27205,11049.73682492524
HNRNPC,27206,3142.837451587328
HNRNPC,27207,7419.726173980262
HNRNPC,27208,5603.966647825254
HNRNPC,27209,11744.527661380489
HNRNPC,27210,7030.266355676733
HNRNPC,27211,13780.606277629424
HNRNPC,27212,5737.938039010103
HNRNPC,27213,9637.811973463748
HNRNPC,27296,7281.032296698866
HNRNPC,27297,5787.155818683654
HNRNPC,27298,4999.911322890874
HNRNPC,27299,8496.379086781704
HNRNPC,27300,9108.535037370464
HNRNPC,27301,17673.822193021973
HNRNPC,27302,8143.311202853491
HNRNPC,27303,10224.893780789727
HNRNPC,27304,9391.769981855643
HNRNPC,27305,7179.291927723348
HNRNPC,27306,3975.046617370003
HNRNPC,27307,8521.156514099213
HNRNPC,27308,8374.719321355591
HNRNPC,27309,9924.845855850785
HNRNPC,27310,14521.566026441184
